Customer_Id,Customer_City,Customer_Country,Customer_Fname,Customer_Lname,Customer_Segment,Customer_State,Customer_Street,Customer_Zipcode,Latitude,Longitude
20755,Caguas,Puerto Rico,Cally,Holloway,Consumer,PR,5365 Noble Nectar Island,725,18.2514534,-66.03705597
19492,Caguas,Puerto Rico,Irene,Luna,Consumer,PR,2679 Rustic Loop,725,18.27945137,-66.0370636
19491,San Jose,EE. UU.,Gillian,Maldonado,Consumer,CA,8510 Round Bear Gate,95125,37.29223251,-121.881279
19490,Los Angeles,EE. UU.,Tana,Tate,Home Office,CA,3200 Amber Bend,90027,34.12594605,-118.2910156
19489,Caguas,Puerto Rico,Orli,Hendricks,Corporate,PR,8671 Iron Anchor Corners,725,18.25376892,-66.03704834
19488,Tonawanda,EE. UU.,Kimberly,Flowers,Consumer,NY,2122 Hazy Corner,14150,43.01396942,-78.87906647
19487,Caguas,Puerto Rico,Constance,Terrell,Home Office,PR,1879 Green Pine Bank,725,18.24253845,-66.03705597
19486,Miami,EE. UU.,Erica,Stevens,Corporate,FL,7595 Cotton Log Row,33162,25.92886925,-80.16287231
19485,Caguas,Puerto Rico,Nichole,Olsen,Corporate,PR,2051 Dusty Route,725,18.23322296,-66.03705597
19484,San Ramon,EE. UU.,Oprah,Delacruz,Corporate,CA,9139 Blue Blossom Court,94583,37.77399063,-121.966629
19483,Caguas,Puerto Rico,Germane,Short,Corporate,PR,4058 Quiet Heights,725,18.28284454,-66.03705597
19482,Freeport,EE. UU.,Freya,Robbins,Consumer,NY,3243 Shady Corner,11520,40.65486527,-73.58707428
19481,Salinas,EE. UU.,Cassandra,Jensen,Corporate,CA,131 Sunny Treasure Green,93905,36.6763382,-121.656517
19480,Caguas,Puerto Rico,Natalie,Mcfadden,Corporate,PR,2531 Wishing Square,725,18.27843857,-66.03705597
19479,Peabody,EE. UU.,Kimberley,Sharpe,Corporate,MA,6417 Silver Towers,1960,42.52627564,-70.92703247
19478,Caguas,Puerto Rico,Sade,Lancaster,Corporate,PR,257 Harvest Close,725,18.28404999,-66.03705597
19477,Canovanas,Puerto Rico,Brynne,Giles,Corporate,PR,7342 Hazy Beacon Park,729,18.3957901,-65.87288666
19476,Paramount,EE. UU.,Ciara,Bird,Corporate,CA,7787 Lazy Corners,90723,33.89869309,-118.1745605
19475,Caguas,Puerto Rico,Bo,Griffin,Consumer,PR,5136 Rustic Pioneer Estates,725,18.233778,-66.0370636
19474,Mount Prospect,EE. UU.,Kim,Simon,Consumer,IL,1723 Tawny Via,60056,42.04830551,-87.96134186
19473,Long Beach,EE. UU.,Kellie,Farmer,Corporate,CA,7111 Silent Fox Gardens,90813,33.78245163,-118.1922455
19472,Caguas,Puerto Rico,Alma,Conley,Corporate,PR,3732 Old Mountain Bank,725,18.28337669,-66.03705597
19471,Rancho Cordova,EE. UU.,Yeo,Bird,Corporate,CA,6217 Rustic Lake Forest,95670,38.61177445,-121.2828674
19470,Caguas,Puerto Rico,Lucy,Mcknight,Corporate,PR,1082 Quiet Treasure Link,725,18.20733643,-66.03705597
19469,Billings,EE. UU.,Simone,Vance,Corporate,MT,3176 Round Gate,59102,45.78831101,-108.5594101
19468,Caguas,Puerto Rico,Roary,Wheeler,Corporate,PR,1426 Fallen Line,725,18.26163292,-66.03705597
19467,Wilkes Barre,EE. UU.,Quail,Ashley,Consumer,PA,9814 Emerald Prairie Limits,18702,41.23545456,-75.86985779
19466,Caguas,Puerto Rico,Hannah,Velez,Corporate,PR,8271 Tawny Elk Abbey,725,18.27022362,-66.0370636
19465,Roseville,EE. UU.,Evelyn,Kelly,Corporate,MI,3931 Gentle Ramp,48066,41.86886215,-84.57365418
19464,Bellflower,EE. UU.,Jael,Mcfarland,Consumer,CA,9699 Honey Rise,90706,33.90942383,-118.1253586
19463,Caguas,Puerto Rico,Teagan,Romero,Consumer,PR,1564 Rocky Terrace,725,18.27526093,-66.0370636
19462,Wheaton,EE. UU.,Joan,Wilder,Consumer,IL,4294 High Passage,60187,41.86544037,-88.10990143
19461,Caguas,Puerto Rico,Basia,Watts,Consumer,PR,5918 Golden Beacon Freeway,725,18.28713608,-66.03705597
19460,Detroit,EE. UU.,Dominique,Rogers,Consumer,MI,3915 Broad Lookout,48238,42.39110184,-83.13121796
19459,Dallas,EE. UU.,Ainsley,Mathis,Consumer,TX,7190 Silver Horse Glade,75220,32.86539459,-96.86858368
19458,Caguas,Puerto Rico,Aurora,Sharp,Corporate,PR,830 Broad Beacon Maze,725,18.24074173,-66.03705597
19457,Carlisle,EE. UU.,Libby,Bray,Corporate,PA,6127 Dewy Goose Downs,17013,40.03171921,-76.87709808
19456,Dallas,EE. UU.,Amy,Lindsay,Corporate,TX,1188 Old Abbey,75228,32.81010819,-96.68649292
19455,Caguas,Puerto Rico,Ivory,Parks,Consumer,PR,7004 Hazy Lake Townline,725,18.28604889,-66.03705597
19454,Newark,EE. UU.,Karina,Prince,Consumer,DE,2556 Umber Autoroute,19702,39.68188095,-75.64421082
19453,Panorama City,EE. UU.,Deanna,Goff,Consumer,CA,3722 Thunder Cape,91402,34.15893936,-118.1809387
19452,Caguas,Puerto Rico,Dacey,Walters,Home Office,PR,2676 Velvet Common,725,18.28294563,-66.0370636
19451,Atlanta,EE. UU.,Adele,Pennington,Home Office,GA,833 Amber Anchor Glen,30318,33.81632614,-84.44550324
19450,Caguas,Puerto Rico,Sybill,Spencer,Home Office,PR,830 Quaking Bear Grounds,725,18.24103928,-66.0370636
19449,Fremont,EE. UU.,Kay,Sandoval,Consumer,CA,1509 Middle Oak Isle,94539,37.49027634,-121.9271088
19448,Caguas,Puerto Rico,Stacy,Mckinney,Corporate,PR,9712 Fallen Robin Diversion,725,18.26469612,-66.03705597
19447,Rochester,EE. UU.,Marah,Lara,Corporate,NY,8665 Sunny Deer Woods,14609,43.18824005,-77.56706238
19446,Dallas,EE. UU.,Taylor,Wood,Corporate,TX,9879 Harvest Deer Farms,75211,32.753685,-96.86553955
9083,Bayamon,Puerto Rico,Mary,Frank,Home Office,PR,75 Sunny Grounds,957,18.38011932,-66.18312836
4741,Caguas,Puerto Rico,Mary,Smith,Home Office,PR,9731 Honey Fox Towers,725,18.23557282,-66.3706131
639,Caguas,Puerto Rico,Elizabeth,Pittman,Home Office,PR,7573 Golden Treasure Centre,725,18.02536774,-66.61303711
9702,Caguas,Puerto Rico,Katherine,Tyler,Home Office,PR,8369 Sunny Crossing,725,18.27383804,-66.37063599
9114,Caguas,Puerto Rico,Mary,Smith,Home Office,PR,1425 Fallen Fox Arbor,725,18.2848053,-66.37059021
1362,Caguas,Puerto Rico,Dennis,Smith,Home Office,PR,2290 Crystal Pathway,725,18.29496765,-66.37050629
8011,Caguas,Puerto Rico,Mary,Hill,Home Office,PR,6179 Noble Panda Moor,725,18.25571251,-66.37050629
